,hu_szeged-ud-dev_Case=Ine,hu_szeged-ud-test_Case=Ine,hu_szeged-ud-train_Case=Ine,fi_ood-ud-test_Case=Ine,et_ewt-ud-train_Case=Ine,et_ewt-ud-test_Case=Ine,et_ewt-ud-dev_Case=Ine,si_stb-ud-test_Case=Ine,olo_kkpp-ud-test_Case=Ine,olo_kkpp-ud-train_Case=Ine,mdf_jr-ud-test_Case=Ine,mdf_jr-ud-train_Case=Ine,vep_vwt-ud-test_Case=Ine,fi_tdt-ud-train_Case=Ine,fi_tdt-ud-test_Case=Ine,fi_tdt-ud-dev_Case=Ine,myv_jr-ud-test_Case=Ine,myv_jr-ud-train_Case=Ine,kpv_ikdp-ud-test_Case=Ine,kpv_lattice-ud-test_Case=Ine,kpv_lattice-ud-train_Case=Ine,fi_pud-ud-test_Case=Ine,et_edt-ud-dev_Case=Ine,et_edt-ud-train_Case=Ine,et_edt-ud-test_Case=Ine,koi_uh-ud-train_Case=Ine,koi_uh-ud-test_Case=Ine,arr_tudet-ud-test_Case=Ine,krl_kkpp-ud-test_Case=Ine,eu_bdt-ud-train_Case=Ine,eu_bdt-ud-test_Case=Ine,eu_bdt-ud-dev_Case=Ine,fi_ftb-ud-dev_Case=Ine,fi_ftb-ud-train_Case=Ine,fi_ftb-ud-test_Case=Ine,ab_abnc-ud-test_Case=Ine
0,0.9999999999999998,0.9980273614421594,0.9991964989601256,0.9535720469881618,0.969965454070312,0.9750247343193339,0.9730627849546566,0.7967305889950301,0.9763736513240212,0.5509533297870403,0.8699997428550547,0.5509533297870403,0.9744312392435779,0.9664695350113411,0.965363997769471,0.9648656884167102,0.8332792172684641,0.8292078106949072,0.8955281319790329,0.7750869982042142,0.637468739806225,0.9761062533120136,0.9647320840445941,0.9705938049083966,0.9766719872367455,0.637468739806225,0.6963389109919712,0.5509533297870403,0.9909753573246234,0.986976007699184,0.9838049218506755,0.9873987521148281,0.635864305856838,0.6452833451419251,0.6406945427325448,0.9908273592137901
1,0.9980273614421594,0.9999999999999998,0.9994742360901627,0.9440554242811455,0.9623304236130991,0.9685526643644187,0.9664595064326563,0.7787294462550839,0.9726198576279231,0.533728888648482,0.8536821546176153,0.533728888648482,0.9704509413381556,0.9579323925255505,0.9568988717458409,0.9561432955290406,0.8156501516109343,0.8106341378228852,0.8819485714875916,0.7546173324734358,0.6213903989971682,0.9697263537459626,0.9565750526851206,0.9633779579522516,0.9706291338934268,0.6213903989971682,0.673516926320913,0.533728888648482,0.9871680455761132,0.9833845397286914,0.9794859746650736,0.9835214141489107,0.6152606378505158,0.6240358857377925,0.6198853154778252,0.9968820564839416
2,0.9991964989601256,0.9994742360901627,1.0,0.9504303875163408,0.9676765953241481,0.9734099708710109,0.9714738122259653,0.7901793520964782,0.9758584766013844,0.5444819994909907,0.8634901584792073,0.5444819994909907,0.9738627672362437,0.96362564203903,0.9626588716983667,0.9620219428409853,0.8265816051587168,0.8220218589950326,0.8901544034678036,0.7668552072308816,0.630028958489703,0.9742124664814704,0.9620668900502835,0.9683655617909062,0.975147338615152,0.630028958489703,0.6867247244170476,0.5444819994909907,0.9898947298929477,0.9863366713035729,0.9827675698716882,0.9865617224330422,0.6280226627643093,0.6370550814258009,0.6326757432091652,0.9944200534636713
3,0.9535720469881618,0.9440554242811455,0.9504303875163408,1.0000000000000004,0.9936318856073627,0.9904795182596536,0.9896006618131895,0.8923552664362948,0.9717172541219921,0.6425520496232483,0.9365190030909905,0.6314735660090544,0.9839138366690302,0.994451899000559,0.9951702150519719,0.9936334147242766,0.9087380934286506,0.920093729514227,0.9518294968819944,0.8697346859601797,0.7299623873300294,0.9920334040393247,0.9881796033173003,0.9875906995443673,0.9878148505724599,0.7299623873300294,0.7997973713716345,0.6314735660090544,0.9767272771051639,0.9782445058516842,0.9789638502233118,0.978294169590776,0.7663085537312659,0.7783313545733922,0.773743000137652,0.9208989504298709
4,0.969965454070312,0.9623304236130991,0.9676765953241481,0.9936318856073627,1.0000000000000002,0.9984043536716251,0.9977814093420584,0.8790183934657596,0.9820701392352377,0.6473027763290825,0.9306956743455187,0.61894285453757,0.9932928310397373,0.9973345916891092,0.9972707318019836,0.9978007134004477,0.8997681221125023,0.9074831432370152,0.9476151083415219,0.855340951296202,0.714980903649655,0.997156239877722,0.9968340283050297,0.9971023970008873,0.997136447025674,0.714980903649655,0.7864381910772266,0.61894285453757,0.9903518981459705,0.9848889068194124,0.9847802653942048,0.9856132696324356,0.7654498874119818,0.7746655012080138,0.7705145403423983,0.9428430139458965
5,0.9750247343193339,0.9685526643644187,0.9734099708710109,0.9904795182596536,0.9984043536716251,1.0,0.9970891018391126,0.868992518575977,0.9901716445002663,0.6253353499177828,0.9239310861089783,0.6115266828848981,0.9931635786642756,0.9969701997672517,0.9970249200145785,0.9972170585219223,0.8926286446279796,0.897785210910316,0.9419272998498915,0.8460349519580732,0.7061301899604697,0.9983851662409603,0.9973424860163834,0.9978266361806408,0.9988609106703048,0.7061301899604697,0.7759693407478016,0.6115266828848981,0.9934883685449584,0.9882990176040678,0.987614456492528,0.988787309795559,0.7523534393777033,0.7605009761202359,0.7559234134851704,0.9508253585500673
6,0.9730627849546566,0.9664595064326563,0.9714738122259653,0.9896006618131895,0.9977814093420584,0.9970891018391126,1.0,0.871116395332511,0.9847677095581809,0.6618407095535085,0.9253149907150808,0.6154697044255557,0.9912671887820775,0.9965139203659258,0.9963080512498019,0.9966591724726714,0.8948259058381013,0.8983736416175349,0.943671547568104,0.84874370737467,0.7106831990563081,0.996941859120079,0.9956257739759049,0.9967859799925259,0.9979631194853031,0.7106831990563081,0.7795920402861691,0.6154697044255557,0.9906114648497658,0.9883458358178489,0.987803962692325,0.9886320164224552,0.7626051584320617,0.7713505592823715,0.7670687683219735,0.9484978321626714
7,0.7967305889950301,0.7787294462550839,0.7901793520964782,0.8923552664362948,0.8790183934657596,0.868992518575977,0.871116395332511,0.9999999999999999,0.8343246648491363,0.6435959029348383,0.950111522301511,0.8416254115301731,0.8614284004278282,0.8801908853507515,0.8820329487114815,0.8823327667185361,0.9456556742934873,0.9615556922722043,0.9237089888906512,0.914421315819237,0.8574929257125443,0.8692580334381805,0.8762369679280199,0.870549536242892,0.8654399534293157,0.8574929257125443,0.9141379262169075,0.6435959029348383,0.8379492821573943,0.8376238644994032,0.8427572805259976,0.8380244211770769,0.7839657848645701,0.7940102569756299,0.7917239138539106,0.7426106572325056
8,0.9763736513240212,0.9726198576279231,0.9758584766013844,0.9717172541219921,0.9820701392352377,0.9901716445002663,0.9847677095581809,0.8343246648491363,0.9999999999999999,0.5902813361009552,0.8984547115566608,0.5902813361009552,0.9782532161638308,0.9848723793077638,0.9851052907053476,0.9838587816568626,0.8678078650461437,0.8645380408991723,0.9194013656197842,0.8168277073897422,0.6815981765909971,0.9907624566207315,0.9856534259807442,0.9869062648413205,0.991031813942863,0.6815981765909971,0.7449018461832864,0.5902813361009552,0.9892440567171833,0.9875864446045174,0.9855741780326566,0.9869835483382373,0.7072375642927394,0.7129468210738295,0.7074147379411615,0.9592071711640522
9,0.5509533297870403,0.533728888648482,0.5444819994909907,0.6425520496232483,0.6473027763290825,0.6253353499177828,0.6618407095535085,0.6435959029348383,0.5902813361009552,0.9999999999999998,0.6586304070378879,0.4999999999999999,0.594650843494272,0.6305971828519717,0.629961649319107,0.633972380426018,0.6563671041729938,0.6603845564982155,0.6553855364152323,0.6513561092658016,0.5773502691896258,0.6186099826316914,0.6361720717098946,0.627340025318263,0.6225173603471333,0.5773502691896258,0.6288281455225324,0.4999999999999999,0.5975692705917668,0.5942362195260552,0.5977810049533824,0.5937613100880524,0.5847928330655862,0.5905387740327384,0.5894855593430621,0.4999999999999999
