,hu_szeged-ud-dev_Case=Ade,hu_szeged-ud-test_Case=Ade,hu_szeged-ud-train_Case=Ade,fi_ood-ud-test_Case=Ade,et_ewt-ud-train_Case=Ade,et_ewt-ud-test_Case=Ade,et_ewt-ud-dev_Case=Ade,olo_kkpp-ud-test_Case=Ade,vep_vwt-ud-test_Case=Ade,fi_tdt-ud-train_Case=Ade,fi_tdt-ud-test_Case=Ade,fi_tdt-ud-dev_Case=Ade,fi_pud-ud-test_Case=Ade,et_edt-ud-dev_Case=Ade,et_edt-ud-train_Case=Ade,et_edt-ud-test_Case=Ade,krl_kkpp-ud-test_Case=Ade,fi_ftb-ud-dev_Case=Ade,fi_ftb-ud-train_Case=Ade,fi_ftb-ud-test_Case=Ade
0,1.0,0.981680770237121,0.9971160039093852,0.9699077281486617,0.9659233272947211,0.9663031986429462,0.9562683816947867,0.9551121202755917,0.9658995967168401,0.9652455342360307,0.9638108258019555,0.9657551716789972,0.9636888037379515,0.9690800661711502,0.9683506978249719,0.9699580542066006,0.9682313548594327,0.7782460952706214,0.7889414573818136,0.8015151420844914
1,0.981680770237121,1.0000000000000002,0.9881372480271763,0.986450738599262,0.982823872968063,0.9829867983092904,0.9716076226988725,0.9821895959192836,0.9845612499869383,0.9827382231369174,0.984121904283441,0.9836676116216232,0.9805419183534821,0.9858407161130713,0.9846400738012097,0.9855747827082074,0.9878623204099056,0.790274182679208,0.8019849548352895,0.8146266419157597
2,0.9971160039093852,0.9881372480271763,1.0,0.978373879217031,0.9742844433105751,0.9746676028581053,0.9645459236649513,0.9633796535467245,0.9742605073187558,0.9737528188187733,0.972399496091819,0.9741148321252712,0.9724300220281147,0.9774685071922419,0.9767328253704612,0.9783540951682026,0.9766124493618715,0.7849826609043217,0.7957706029966742,0.8084531266036159
3,0.9699077281486617,0.986450738599262,0.978373879217031,0.9999999999999999,0.9994187707878387,0.9978225834420259,0.9954779589475607,0.9787136374786825,0.9914599218432805,0.9986527239916483,0.9963136902647534,0.9980057075514913,0.9975950973783165,0.9975030390011725,0.9978531224812212,0.9986649494014779,0.9913116545915596,0.813073532319922,0.8239389997237747,0.8377778457774343
4,0.9659233272947211,0.982823872968063,0.9742844433105751,0.9994187707878387,1.0000000000000002,0.9981570085224349,0.9967918799976971,0.9785031333959555,0.9916351834698747,0.9990336801869126,0.9968706127457405,0.9982703792429597,0.9976127578394531,0.9976128870067557,0.9980397456073714,0.9986308011709327,0.9913191927207923,0.8151100445283621,0.826131932405766,0.8402334652254541
5,0.9663031986429462,0.9829867983092904,0.9746676028581053,0.9978225834420259,0.9981570085224349,0.9999999999999999,0.9970714309958206,0.9743249934064144,0.9867625224045575,0.9962109309619473,0.9924776682085134,0.9958439959397423,0.9948350559974375,0.9961289143554862,0.9966486846557387,0.9976612783925017,0.9879909212892659,0.813288986644724,0.8239659080706959,0.8372392390404164
6,0.9562683816947867,0.9716076226988725,0.9645459236649513,0.9954779589475607,0.9967918799976971,0.9970714309958206,0.9999999999999999,0.96433848332607,0.9805936080554355,0.994022579439208,0.9891226945594251,0.9932700197538205,0.9926093006728676,0.99179220684209,0.9932092859879625,0.9946173585468996,0.9806338943444075,0.8160471754732355,0.8255973401360568,0.8390660088186739
7,0.9551121202755917,0.9821895959192836,0.9633796535467245,0.9787136374786825,0.9785031333959555,0.9743249934064144,0.96433848332607,1.0000000000000002,0.9892846484809449,0.9805262058877043,0.9868207564607842,0.9783839507163035,0.9777938160180858,0.9825669163715529,0.9805746149862351,0.9788844422899206,0.9914651189025158,0.7816148317511549,0.7967062249163053,0.8114867516217183
8,0.9658995967168401,0.9845612499869383,0.9742605073187558,0.9914599218432805,0.9916351834698747,0.9867625224045575,0.9805936080554355,0.9892846484809449,0.9999999999999999,0.9930097193914921,0.9956466395632549,0.9913545111116155,0.9909115010932813,0.9948357000442188,0.9939883228669033,0.9931929791824237,0.9969172921429927,0.8139850192226731,0.8273326197328792,0.8421327242678055
9,0.9652455342360307,0.9827382231369174,0.9737528188187733,0.9986527239916483,0.9990336801869126,0.9962109309619473,0.994022579439208,0.9805262058877043,0.9930097193914921,0.9999999999999998,0.9984273914621627,0.9989364332940917,0.9992052270685381,0.99837371146293,0.9985026547030031,0.9983106008934852,0.9915231277677161,0.8283203813680062,0.8395596433065756,0.8533109856813264
10,0.9638108258019555,0.984121904283441,0.972399496091819,0.9963136902647534,0.9968706127457405,0.9924776682085134,0.9891226945594251,0.9868207564607842,0.9956466395632549,0.9984273914621627,1.0,0.9974197970187875,0.9970422611100758,0.9964906866579448,0.9961761634785199,0.9955892396182715,0.993959914189894,0.8241303996790172,0.8362462146873731,0.850333965300781
11,0.9657551716789972,0.9836676116216232,0.9741148321252712,0.9980057075514913,0.9982703792429597,0.9958439959397423,0.9932700197538205,0.9783839507163035,0.9913545111116155,0.9989364332940917,0.9974197970187875,1.0000000000000002,0.9975891482652688,0.9978514141300411,0.9980599283801489,0.9978332032050231,0.9895764650363891,0.8362300062164534,0.8467606639702796,0.860194699659214
12,0.9636888037379515,0.9805419183534821,0.9724300220281147,0.9975950973783165,0.9976127578394531,0.9948350559974375,0.9926093006728676,0.9777938160180858,0.9909115010932813,0.9992052270685381,0.9970422611100758,0.9975891482652688,0.9999999999999999,0.9971948420772644,0.9972788886633696,0.9967526025064672,0.9891945091259151,0.8313540912988343,0.8424996302740279,0.8557466110827574
13,0.9690800661711502,0.9858407161130713,0.9774685071922419,0.9975030390011725,0.9976128870067557,0.9961289143554862,0.99179220684209,0.9825669163715529,0.9948357000442188,0.99837371146293,0.9964906866579448,0.9978514141300411,0.9971948420772644,1.0,0.9998596437261169,0.9993587990671846,0.9936729762678306,0.8326458902167219,0.8440255640838715,0.8574523440060281
14,0.9683506978249719,0.9846400738012097,0.9767328253704612,0.9978531224812212,0.9980397456073714,0.9966486846557387,0.9932092859879625,0.9805746149862351,0.9939883228669033,0.9985026547030031,0.9961761634785199,0.9980599283801489,0.9972788886633696,0.9998596437261169,1.0,0.9996780681826838,0.992499403485338,0.8345085839514962,0.8455472653685344,0.8589471707281684
15,0.9699580542066006,0.9855747827082074,0.9783540951682026,0.9986649494014779,0.9986308011709327,0.9976612783925017,0.9946173585468996,0.9788844422899206,0.9931929791824237,0.9983106008934852,0.9955892396182715,0.9978332032050231,0.9967526025064672,0.9993587990671846,0.9996780681826838,1.0000000000000002,0.992128005864293,0.8278740901504235,0.8386918456244931,0.8522109998719575
16,0.9682313548594327,0.9878623204099056,0.9766124493618715,0.9913116545915596,0.9913191927207923,0.9879909212892659,0.9806338943444075,0.9914651189025158,0.9969172921429927,0.9915231277677161,0.993959914189894,0.9895764650363891,0.9891945091259151,0.9936729762678306,0.992499403485338,0.992128005864293,1.0,0.7919237710567435,0.8056185601371335,0.8204860174834198
17,0.7782460952706214,0.790274182679208,0.7849826609043217,0.813073532319922,0.8151100445283621,0.813288986644724,0.8160471754732355,0.7816148317511549,0.8139850192226731,0.8283203813680062,0.8241303996790172,0.8362300062164534,0.8313540912988343,0.8326458902167219,0.8345085839514962,0.8278740901504235,0.7919237710567435,1.0000000000000002,0.9994496253956329,0.9981246858548194
18,0.7889414573818136,0.8019849548352895,0.7957706029966742,0.8239389997237747,0.826131932405766,0.8239659080706959,0.8255973401360568,0.7967062249163053,0.8273326197328792,0.8395596433065756,0.8362462146873731,0.8467606639702796,0.8424996302740279,0.8440255640838715,0.8455472653685344,0.8386918456244931,0.8056185601371335,0.9994496253956329,1.0,0.999402463663701
19,0.8015151420844914,0.8146266419157597,0.8084531266036159,0.8377778457774343,0.8402334652254541,0.8372392390404164,0.8390660088186739,0.8114867516217183,0.8421327242678055,0.8533109856813264,0.850333965300781,0.860194699659214,0.8557466110827574,0.8574523440060281,0.8589471707281684,0.8522109998719575,0.8204860174834198,0.9981246858548194,0.999402463663701,0.9999999999999999
