,hu_szeged-ud-dev_Case=Tra,hu_szeged-ud-test_Case=Tra,hu_szeged-ud-train_Case=Tra,fi_ood-ud-test_Case=Tra,et_ewt-ud-train_Case=Tra,et_ewt-ud-test_Case=Tra,et_ewt-ud-dev_Case=Tra,gub_tudet-ud-test_Case=Tra,olo_kkpp-ud-test_Case=Tra,mdf_jr-ud-test_Case=Tra,vep_vwt-ud-test_Case=Tra,fi_tdt-ud-train_Case=Tra,fi_tdt-ud-test_Case=Tra,fi_tdt-ud-dev_Case=Tra,myv_jr-ud-test_Case=Tra,myv_jr-ud-train_Case=Tra,kpv_ikdp-ud-test_Case=Tra,kpv_lattice-ud-test_Case=Tra,tpn_tudet-ud-test_Case=Tra,fi_pud-ud-test_Case=Tra,et_edt-ud-dev_Case=Tra,et_edt-ud-train_Case=Tra,et_edt-ud-test_Case=Tra,krl_kkpp-ud-test_Case=Tra,fi_ftb-ud-dev_Case=Tra,fi_ftb-ud-train_Case=Tra,fi_ftb-ud-test_Case=Tra,eme_tudet-ud-test_Case=Tra,aqz_tudet-ud-test_Case=Tra
0,1.0000000000000002,0.9864400504156212,0.9795932180424751,0.9412492609861227,0.9017573601593641,0.9066526976067903,0.8652070910964048,0.7310492388962058,0.9415717588421928,0.9027937712898264,0.815239464584109,0.9347682226255375,0.9420641091484462,0.9328009900430578,0.9001020793342928,0.9059382587206969,0.8401680504168059,0.8332380897952963,0.9732786244582622,0.9167551328881604,0.9103688793503015,0.9160858644547545,0.9165678738821352,0.9632160894105378,0.833153616667401,0.8297385938604548,0.8318003122865606,0.9184704893828162,0.795411678668406
1,0.9864400504156212,1.0000000000000002,0.9968392392826639,0.9541378899057024,0.9103457354469384,0.9184969291219823,0.8737231129890917,0.7423461377222826,0.9561218607111065,0.9115060964017166,0.8278373543847157,0.9457553367887801,0.9486594498203283,0.9422637209113014,0.9113924068351502,0.9158491042862917,0.8531511614816524,0.8461141122266493,0.9883186923019679,0.9260983148847061,0.9189667630820689,0.9258179526171175,0.9268209539534031,0.978100660969835,0.8434251696322903,0.8396574675738557,0.8407617014674563,0.9326636074947525,0.7930176576518292
2,0.9795932180424751,0.9968392392826639,1.0,0.9559501192496678,0.912074788734083,0.9202414642724116,0.8753826075764161,0.7437561031668922,0.9579378582841184,0.9132373536052911,0.8294096964555195,0.9475516448399256,0.9504612737606442,0.9440533972074164,0.9131234481039306,0.9175886103251895,0.8547715830014686,0.8477211680188388,0.9901958425066999,0.9278572876279401,0.9207121906054963,0.927576392857939,0.9285812992317176,0.9799584036901631,0.84502711821647,0.8412522600223219,0.8423585912281514,0.9344350499407891,0.7945238653862494
3,0.9412492609861227,0.9541378899057024,0.9559501192496678,0.9999999999999998,0.9521644253504435,0.9580475717919508,0.927661513951095,0.7159422131199425,0.9511188459557022,0.9461113155019208,0.8921310695711214,0.9916186972188076,0.9879147365441014,0.9851020207440662,0.9431534365467016,0.9507437740516623,0.8223302147926896,0.8155473860436511,0.9630257715766225,0.9902748060161847,0.9574305583494477,0.9620907330494722,0.9633578620260859,0.9697720991372579,0.8415752590056209,0.8398978582929102,0.8439981923025959,0.9042630433223078,0.779408764157
4,0.9017573601593641,0.9103457354469384,0.912074788734083,0.9521644253504435,1.0,0.9982273140132093,0.9954091565327012,0.683987830862257,0.8859824058565622,0.995167222412375,0.9768913306107662,0.9682143491527595,0.9546473059778544,0.9712519381351502,0.9720869170143545,0.9749150765843626,0.7845876493173063,0.7781161326829922,0.9225719437430887,0.9393405861880858,0.9968050050790908,0.9966404299665165,0.9972687473898225,0.9379026129592098,0.799747051953846,0.7940184286573126,0.7950942098544971,0.8743670541133101,0.7769026426088229
5,0.9066526976067903,0.9184969291219823,0.9202414642724116,0.9580475717919508,0.9982273140132093,0.9999999999999999,0.9917064396424761,0.690966264328872,0.8993883631048779,0.9932298061587659,0.9710258236071911,0.9725979973238726,0.9595688047794683,0.9756525405966319,0.9704102894418791,0.9741929667179143,0.7916128108967067,0.7850833486013062,0.9317802613066343,0.9433196365943989,0.9982364696904733,0.9987895515364972,0.998973904018941,0.9489316009561236,0.8164266944204622,0.8097901062366694,0.8103049768124919,0.8838478387507186,0.7805519678104038
6,0.8652070910964048,0.8737231129890917,0.8753826075764161,0.927661513951095,0.9954091565327012,0.9917064396424761,1.0000000000000002,0.6557087471768185,0.8508345037860505,0.989480058572838,0.9904790264200796,0.9482175840470489,0.9300917159998345,0.952459063762375,0.962357378123061,0.9621454152235336,0.753024193646335,0.7468130219570234,0.883959324993537,0.916748212624731,0.9887203650065273,0.9871226914772038,0.9885017872273603,0.9093526225756288,0.7594203565584522,0.7524043021172327,0.7530826851359481,0.8356126788612616,0.7372786007724751
7,0.7310492388962058,0.7423461377222826,0.7437561031668922,0.7159422131199425,0.683987830862257,0.690966264328872,0.6557087471768185,1.0,0.7660426879315202,0.7280805651908818,0.6208126980232949,0.7134495796951223,0.7162535237113195,0.7126357560743912,0.6834723947263818,0.686814566173783,0.867279098192801,0.7598558760587117,0.7438610794283761,0.6961083058718347,0.6910025303159758,0.6967448015550499,0.6973468277703484,0.733498321933493,0.6546268966371951,0.6514475924524802,0.6509379689995667,0.6994241168874304,0.5947006728065027
8,0.9415717588421928,0.9561218607111065,0.9579378582841184,0.9511188459557022,0.8859824058565622,0.8993883631048779,0.8508345037860505,0.7660426879315202,1.0000000000000002,0.8850744509363938,0.7995900589021114,0.9243620532744098,0.9320088978521133,0.9214647408958554,0.8802940630842708,0.8870289062054678,0.8493951939089078,0.83121314988783,0.9545954857027874,0.9088330858896404,0.9020974617345341,0.908638685998144,0.9073994187731684,0.9689498583882252,0.8239297049174463,0.8177763002273046,0.8201710021254367,0.9008394522216955,0.7659584726803282
9,0.9027937712898264,0.9115060964017166,0.9132373536052911,0.9461113155019208,0.995167222412375,0.9932298061587659,0.989480058572838,0.7280805651908818,0.8850744509363938,1.0,0.9725623249013894,0.9656702919019481,0.9519791548161289,0.9700676832176093,0.9679431283981743,0.9700262090343458,0.8180947921121741,0.7940333884391056,0.924455371289893,0.9323977304049142,0.9914732216121036,0.9917785201151352,0.9922104552263893,0.9316987349206906,0.8138269679800391,0.8079350883683021,0.8077963964535989,0.8755416414771133,0.7777783368834547
10,0.815239464584109,0.8278373543847157,0.8294096964555195,0.8921310695711214,0.9768913306107662,0.9710258236071911,0.9904790264200796,0.6208126980232949,0.7995900589021114,0.9725623249013894,1.0,0.9170664336177952,0.8884751814675526,0.9205173447160293,0.9461588302360727,0.9391522464386327,0.713477241231741,0.7075922647872949,0.8355487350209737,0.8820487481666545,0.9622618084629366,0.9607989182256066,0.9647696923748545,0.8634134034251779,0.7096975157950263,0.7031886897907934,0.7031161256986765,0.7799722812507829,0.6631885135652509
11,0.9347682226255375,0.9457553367887801,0.9475516448399256,0.9916186972188076,0.9682143491527595,0.9725979973238726,0.9482175840470489,0.7134495796951223,0.9243620532744098,0.9656702919019481,0.9170664336177952,1.0,0.9955588248263727,0.9981521333099357,0.9536811843910408,0.9587211182602579,0.8151056545083988,0.8083824161213753,0.9587382599320686,0.990928771921907,0.9716210562958056,0.9759343375135828,0.9776932038681079,0.9638146717368824,0.8714883118141667,0.868474465806176,0.8709835326832042,0.892836242731187,0.7688736041733119
12,0.9420641091484462,0.9486594498203283,0.9504612737606442,0.9879147365441014,0.9546473059778544,0.9595688047794683,0.9300917159998345,0.7162535237113195,0.9320088978521133,0.9519791548161289,0.8884751814675526,0.9955588248263727,1.0000000000000002,0.9959491060200162,0.939076496237461,0.9453482475784677,0.8176085840307252,0.8108647007227011,0.9617783166036133,0.9882137008663888,0.9625823827104808,0.966940220755338,0.9674891111988173,0.9671366302953626,0.8848522104625832,0.8811416843996498,0.8839901379491523,0.8956257657945867,0.780938951431601
13,0.9328009900430578,0.9422637209113014,0.9440533972074164,0.9851020207440662,0.9712519381351502,0.9756525405966319,0.952459063762375,0.7126357560743912,0.9214647408958554,0.9700676832176093,0.9205173447160293,0.9981521333099357,0.9959491060200162,0.9999999999999999,0.9528331537877309,0.9566268316048532,0.8120963816717605,0.8053979646787984,0.9560428162231845,0.983783131861065,0.9759507542576343,0.9797971890636895,0.9809019893962113,0.963185939661413,0.8800550255140522,0.8754620892517933,0.8766750550726933,0.8900428979983616,0.7703466328129168
14,0.9001020793342928,0.9113924068351502,0.9131234481039306,0.9431534365467016,0.9720869170143545,0.9704102894418791,0.962357378123061,0.6834723947263818,0.8802940630842708,0.9679431283981743,0.9461588302360727,0.9536811843910408,0.939076496237461,0.9528331537877309,1.0,0.9953470597140194,0.7854897301555074,0.7790107728851406,0.920996599466897,0.9298312867659506,0.9664646859231061,0.9685973764432417,0.9713350872526287,0.9277009329220736,0.7900475879218846,0.7876427128455953,0.7900242107168509,0.8632021315405681,0.7455110560875514
