,Treebank,kpv_ikdp-ud-test_Case=Prp,kpv_lattice-ud-test_Case=Prp
91,ky_ktmu-ud-test_Case=Loc,1.0,21.494185260204677
92,kpv_ikdp-ud-test_Case=Loc,1.0,21.494185260204677
93,kpv_lattice-ud-test_Case=Loc,1.0,21.494185260204677
94,kpv_lattice-ud-train_Case=Loc,1.0,21.494185260204677
95,tt_nmctt-ud-test_Case=Loc,1.0,21.494185260204677
96,tr_gb-ud-test_Case=Loc,764.0130888931158,749.8393161204606
97,ru_taiga-ud-train_Case=Loc,1.0,21.494185260204677
98,ru_taiga-ud-dev_Case=Loc,1.0,21.494185260204677
99,ru_taiga-ud-test_Case=Loc,1.0,21.494185260204677
100,tpn_tudet-ud-test_Case=Loc,1.0,21.494185260204677
101,cs_cltt-ud-dev_Case=Loc,1.7275670708436488,19.30365687962899
102,cs_cltt-ud-train_Case=Loc,1.5831719649196498,19.370724095630138
103,cs_cltt-ud-test_Case=Loc,1.5239901032541716,19.45281903674442
104,hy_armtdp-ud-train_Case=Loc,1.0,21.494185260204677
105,hy_armtdp-ud-dev_Case=Loc,1.0,21.494185260204677
106,hy_armtdp-ud-test_Case=Loc,1.0,21.494185260204677
107,ota_boun-ud-train_Case=Loc,83.90470785361212,73.54590403278758
108,ota_boun-ud-test_Case=Loc,1.0,21.494185260204677
109,ru_syntagrus-ud-train_Case=Loc,1.0,21.494185260204677
110,ru_syntagrus-ud-dev_Case=Loc,1.0,21.494185260204677
111,ru_syntagrus-ud-test_Case=Loc,1.0,21.494185260204677
112,sjo_xdt-ud-test_Case=Loc,0.044134950320417685,20.684506151723483
113,orv_birchbark-ud-train_Case=Loc,1.0,21.494185260204677
114,orv_birchbark-ud-dev_Case=Loc,1.0,21.494185260204677
115,orv_birchbark-ud-test_Case=Loc,1.0,21.494185260204677
116,ltg_cairo-ud-test_Case=Loc,1.0,21.494185260204677
117,ru_poetry-ud-test_Case=Loc,1.0,21.494185260204677
118,ru_poetry-ud-dev_Case=Loc,1.0,21.494185260204677
119,ru_poetry-ud-train_Case=Loc,1.0,21.494185260204677
120,wbp_ufal-ud-test_Case=Loc,1.0,21.494185260204677
121,cs_fictree-ud-dev_Case=Loc,1.6081587939403168,19.53596190508082
122,cs_fictree-ud-train_Case=Loc,1.5501618769423346,19.562016726034194
123,cs_fictree-ud-test_Case=Loc,1.54730128952888,19.57880106782904
124,la_udante-ud-dev_Case=Loc,1.0,21.494185260204677
125,hyw_armtdp-ud-test_Case=Loc,1.0,21.494185260204677
126,hyw_armtdp-ud-train_Case=Loc,1.0,21.494185260204677
127,sme_giella-ud-train_Case=Loc,1.0,21.494185260204677
128,sme_giella-ud-test_Case=Loc,1.0,21.494185260204677
129,ca_ancora-ud-dev_Case=Loc,1.0,21.494185260204677
130,ca_ancora-ud-test_Case=Loc,1.0,21.494185260204677
131,ca_ancora-ud-train_Case=Loc,1.0,21.494185260204677
132,sl_sst-ud-train_Case=Loc,1.6243301735714466,19.546140752070063
133,sl_sst-ud-test_Case=Loc,1.6199844754883679,19.542085978840145
134,sl_sst-ud-dev_Case=Loc,1.6762388644416322,19.51844977751925
135,arr_tudet-ud-test_Case=Loc,0.0,20.71231517720798
136,kk_ktb-ud-test_Case=Loc,1.0,21.494185260204677
137,kk_ktb-ud-train_Case=Loc,1.0,21.494185260204677
138,cs_pdt-ud-test_Case=Loc,1.5687458985009424,19.465343381958423
139,cs_pdt-ud-dev_Case=Loc,1.5655729169865347,19.459795448032267
140,cs_pdt-ud-train_Case=Loc,1.5635776913755979,19.463503151294983
141,gn_oldtudet-ud-test_Case=Loc,1.0,21.494185260204677
142,ta_mwtt-ud-test_Case=Loc,1.0,21.494185260204677
143,ota_dudu-ud-test_Case=Loc,1.0,21.494185260204677
144,ug_udt-ud-test_Case=Loc,19.362406301329848,15.734339657082675
145,ug_udt-ud-dev_Case=Loc,19.4982192919137,15.55143794709101
146,ug_udt-ud-train_Case=Loc,19.639953876722142,16.342448236623838
147,lzh_kyoto-ud-dev_Case=Loc,1.0,21.494185260204677
148,lzh_kyoto-ud-train_Case=Loc,1.0,21.494185260204677
149,lzh_kyoto-ud-test_Case=Loc,1.0,21.494185260204677
150,lv_lvtb-ud-test_Case=Loc,1.0,21.494185260204677
151,lv_lvtb-ud-train_Case=Loc,1.0,21.494185260204677
152,lv_lvtb-ud-dev_Case=Loc,1.0,21.494185260204677
153,ta_ttb-ud-train_Case=Loc,1.0,21.494185260204677
154,ta_ttb-ud-dev_Case=Loc,1.0,21.494185260204677
155,ta_ttb-ud-test_Case=Loc,1.0,21.494185260204677
156,xum_ikuvina-ud-test_Case=Loc,1.0,21.494185260204677
157,ru_pud-ud-test_Case=Loc,1.0,21.494185260204677
158,la_ittb-ud-dev_Case=Loc,1.0,21.494185260204677
159,la_ittb-ud-test_Case=Loc,1.0,21.494185260204677
160,la_ittb-ud-train_Case=Loc,1.0,21.494185260204677
161,qtd_sagt-ud-test_Case=Loc,237.8570999570961,225.0
162,qtd_sagt-ud-dev_Case=Loc,1.0,21.494185260204677
163,qtd_sagt-ud-train_Case=Loc,1.0,21.494185260204677
164,pl_pud-ud-test_Case=Loc,1.0,21.494185260204677
165,orv_torot-ud-test_Case=Loc,1.0,21.494185260204677
166,orv_torot-ud-dev_Case=Loc,1.0,21.494185260204677
167,orv_torot-ud-train_Case=Loc,1.0,21.494185260204677
168,cs_cac-ud-dev_Case=Loc,1.5826082144139715,19.382046839005973
169,cs_cac-ud-train_Case=Loc,1.6345143004086566,19.406874182736786
170,cs_cac-ud-test_Case=Loc,1.7338361464107728,19.39049885299134
171,eu_bdt-ud-train_Case=Loc,19.295624933713462,4.782462098290166
172,eu_bdt-ud-test_Case=Loc,15.384991243271983,6.929498939718192
173,eu_bdt-ud-dev_Case=Loc,24.313107717462643,5.746374848738829
174,am_att-ud-test_Case=Loc,1.2374368670764582,20.06318145260118
175,eme_tudet-ud-test_Case=Loc,1.0,21.494185260204677
176,pl_lfg-ud-test_Case=Loc,1.0,21.494185260204677
177,pl_lfg-ud-train_Case=Loc,1.0,21.494185260204677
178,pl_lfg-ud-dev_Case=Loc,1.0,21.494185260204677
179,tr_tourism-ud-train_Case=Loc,174.51146094168143,156.8510439875999
