,Treebank,kpv_ikdp-ud-test_Case=Adp,kpv_lattice-ud-test_Case=Adp
0,es_gsd-ud-train_Case=Com,3.7043517951488116,3.5623026261113755
1,fi_ood-ud-test_Case=Com,1.4907119849998598,1.3
2,es_ancora-ud-train_Case=Com,8.096638534327413,7.9177016867270265
3,es_ancora-ud-test_Case=Com,1.3743685418725535,1.5132745950421556
4,es_ancora-ud-dev_Case=Com,1.3743685418725535,1.5132745950421556
5,sms_giellagas-ud-test_Case=Com,1.3743685418725535,1.5132745950421556
6,et_ewt-ud-train_Case=Com,8.663603447259,8.52590098783237
7,et_ewt-ud-test_Case=Com,6.441229684856474,6.3062935899762245
8,et_ewt-ud-dev_Case=Com,10.243410388244818,10.107067325260845
9,ml_ufal-ud-test_Case=Com,10.036046144883064,9.914131328563284
10,apu_ufpa-ud-test_Case=Com,1.3743685418725535,1.5132745950421556
11,egy_ujaen-ud-test_Case=Com,1.3743685418725535,1.5132745950421556
12,mr_ufal-ud-train_Case=Com,1.3743685418725535,1.5132745950421556
13,olo_kkpp-ud-test_Case=Com,1.3743685418725535,1.5132745950421556
14,mdf_jr-ud-test_Case=Com,1.3743685418725535,1.5132745950421556
15,vep_vwt-ud-test_Case=Com,9.843215373488935,9.710303805751908
16,es_pud-ud-test_Case=Com,1.3743685418725535,1.5132745950421556
17,fi_tdt-ud-train_Case=Com,1.7606172902224906,1.5978940221812112
18,fi_tdt-ud-test_Case=Com,0.4714045207910316,0.5385164807134505
19,fi_tdt-ud-dev_Case=Com,1.3743685418725535,1.5132745950421556
20,myv_jr-ud-test_Case=Com,1.3743685418725535,1.5132745950421556
21,myv_jr-ud-train_Case=Com,2.211083193570267,2.071231517720798
22,kpv_ikdp-ud-test_Case=Com,1.3743685418725535,1.5132745950421556
23,kpv_lattice-ud-test_Case=Com,18.217817895919612,18.088394069126203
24,fi_pud-ud-test_Case=Com,0.4714045207910317,0.42295258468165076
25,et_edt-ud-dev_Case=Com,4.256823586349152,4.118174726070077
26,et_edt-ud-train_Case=Com,4.122350248116103,3.9853746066039744
27,et_edt-ud-test_Case=Com,3.783546524543828,3.6483450269956874
28,sjo_xdt-ud-test_Case=Com,1.3743685418725535,1.5132745950421556
29,wbp_ufal-ud-test_Case=Com,1.3743685418725535,1.5132745950421556
30,koi_uh-ud-test_Case=Com,6.847546194724712,6.729784543356496
31,sme_giella-ud-train_Case=Com,14.857424257103098,14.728458846736139
32,sme_giella-ud-test_Case=Com,6.673126122358093,6.536222115755037
33,arr_tudet-ud-test_Case=Com,1.3743685418725535,1.5132745950421556
34,ta_mwtt-ud-test_Case=Com,1.3743685418725535,1.5132745950421556
35,ta_ttb-ud-train_Case=Com,1.3743685418725535,1.5132745950421556
36,ta_ttb-ud-dev_Case=Com,1.3743685418725535,1.5132745950421556
37,ta_ttb-ud-test_Case=Com,2.6246692913372702,2.5079872407968904
38,krl_kkpp-ud-test_Case=Com,1.2472191289246473,1.044030650891055
39,eu_bdt-ud-train_Case=Com,38.75689902742765,38.61984953075009
40,eu_bdt-ud-test_Case=Com,29.508002681005408,29.370639156212526
41,eu_bdt-ud-dev_Case=Com,38.220486071680924,38.07873422266029
42,fi_ftb-ud-dev_Case=Com,0.5270462766947299,0.42295258468165076
43,fi_ftb-ud-train_Case=Com,0.5016516752268468,0.2851963235044265
44,fi_ftb-ud-test_Case=Com,0.5497474167490215,0.4123105625617661
45,bxr_bdt-ud-test_Case=Com,0.7675704338903063,0.5415771275856902
46,bej_nsc-ud-test_Case=Com,1.3743685418725535,1.5132745950421556
