,Treebank,hu_szeged-ud-dev_Case=Del,hu_szeged-ud-test_Case=Del,hu_szeged-ud-train_Case=Del
0,fi_ood-ud-test_Case=Abe,5.512051891027761,5.6570027681856985,5.5239203458824715
1,sms_giellagas-ud-test_Case=Abe,0.2939723678960656,0.10649955403405117,0.28019779169211134
2,sms_giellagas-ud-train_Case=Abe,1.259531560972737,1.08869426309121,1.2452843148017878
3,et_ewt-ud-train_Case=Abe,3.6003415195918778,3.7479370049646725,3.612082875526593
4,et_ewt-ud-test_Case=Abe,9.582648928862373,9.722812416448456,9.594307323860924
5,et_ewt-ud-dev_Case=Abe,1.259531560972737,1.08869426309121,1.2452843148017878
6,gub_tudet-ud-test_Case=Abe,1.259531560972737,1.3555180233147737,1.2673944059553497
7,olo_kkpp-ud-test_Case=Abe,1.259531560972737,1.08869426309121,1.2452843148017878
8,olo_kkpp-ud-train_Case=Abe,1.259531560972737,1.08869426309121,1.2452843148017878
9,mdf_jr-ud-test_Case=Abe,0.5800170282728083,0.6514488723378999,0.5851492898039138
10,fi_tdt-ud-train_Case=Abe,10.909490148886059,11.057321623190715,10.921533760940266
11,fi_tdt-ud-test_Case=Abe,7.902375014145908,8.04676783496281,7.9141687092217525
12,fi_tdt-ud-dev_Case=Abe,2.2346872623465295,2.37371661341588,2.2453226417225873
13,myv_jr-ud-test_Case=Abe,0.5161586510816416,0.6220886825224322,0.524573606975992
14,myv_jr-ud-train_Case=Abe,0.5756020433164681,0.6652634951053855,0.5824789932056135
15,kpv_ikdp-ud-test_Case=Abe,0.2939723678960656,0.10649955403405117,0.28019779169211134
16,kpv_lattice-ud-test_Case=Abe,1.4603821586772128,1.6156657981880327,1.4718946176381305
17,fi_pud-ud-test_Case=Abe,1.259531560972737,1.3555180233147737,1.2673944059553497
18,et_edt-ud-dev_Case=Abe,2.645167968248314,2.794311224605888,2.6570645991301407
19,et_edt-ud-train_Case=Abe,3.6397763166913695,3.792674313302016,3.6518518974473353
20,et_edt-ud-test_Case=Abe,3.2025862427068703,3.336301451068347,3.213800056392609
21,koi_uh-ud-test_Case=Abe,0.9734119704408463,1.1375196045174896,0.9835647875752896
22,sme_giella-ud-train_Case=Abe,1.259531560972737,1.08869426309121,1.2452843148017878
23,sme_giella-ud-test_Case=Abe,1.259531560972737,1.08869426309121,1.2452843148017878
24,arr_tudet-ud-test_Case=Abe,0.2939723678960656,0.10649955403405117,0.28019779169211134
25,krl_kkpp-ud-test_Case=Abe,1.259531560972737,1.3555180233147737,1.2673944059553497
26,fi_ftb-ud-dev_Case=Abe,1.259531560972737,1.08869426309121,1.2452843148017878
27,fi_ftb-ud-train_Case=Abe,1.259531560972737,1.08869426309121,1.2452843148017878
28,fi_ftb-ud-test_Case=Abe,1.259531560972737,1.08869426309121,1.2452843148017878
29,ab_abnc-ud-test_Case=Abe,0.2939723678960656,0.10649955403405117,0.28019779169211134
