,Treebank,kpv_ikdp-ud-test_Case=Prp,kpv_lattice-ud-test_Case=Prp
0,hu_szeged-ud-dev_Case=Cau,14.89966442575134,17.291616465790582
1,hu_szeged-ud-test_Case=Cau,20.54263858417414,19.261360284258224
2,hu_szeged-ud-train_Case=Cau,18.841443681416774,15.588457268119896
3,egy_ujaen-ud-test_Case=Cau,1.0,21.494185260204677
4,mdf_jr-ud-test_Case=Cau,1.0,21.494185260204677
5,wbp_ufal-ud-test_Case=Cau,1.0,21.494185260204677
6,eu_bdt-ud-train_Case=Cau,1.0,21.494185260204677
7,eu_bdt-ud-test_Case=Cau,1.0,21.494185260204677
8,eu_bdt-ud-dev_Case=Cau,1.0,21.494185260204677
