,Treebank,ml_ufal-ud-test_Case=Ben,egy_ujaen-ud-test_Case=Ben,si_stb-ud-test_Case=Ben,ta_mwtt-ud-test_Case=Ben,eu_bdt-ud-train_Case=Ben,eu_bdt-ud-test_Case=Ben,eu_bdt-ud-dev_Case=Ben,am_att-ud-test_Case=Ben,ab_abnc-ud-test_Case=Ben
0,sl_ssj-ud-test_Case=Dat,2.2850533621933233,3.237354116223063,3.237354116223063,2.2850533621933233,2.0362363046158367,1.7648917977055336,1.876973546839062,3.237354116223063,2.2850533621933233
1,sl_ssj-ud-dev_Case=Dat,2.75214562760686,3.702382866329317,3.702382866329317,2.75214562760686,2.5025921935215156,2.2218576089767548,2.3409308464773657,3.702382866329317,2.75214562760686
2,sl_ssj-ud-train_Case=Dat,2.1601796065306087,3.1179361720571244,3.1179361720571244,2.1601796065306087,1.9107511717796393,1.636583701166662,1.751316346764188,3.1179361720571244,2.1601796065306087
3,xcl_caval-ud-train_Case=Dat,0.2535032568519937,1.239102502759832,1.239102502759832,0.2535032568519937,0.11480418549778806,0.3824769177252304,0.23869310253473824,1.239102502759832,0.2535032568519937
4,xcl_caval-ud-dev_Case=Dat,0.1774437795360273,1.1651494545412489,1.1651494545412489,0.1774437795360273,0.13594340561460277,0.44317994476441186,0.30020288064282197,1.1651494545412489,0.1774437795360273
5,xcl_caval-ud-test_Case=Dat,0.24363276830424319,1.2227021265001647,1.2227021265001647,0.24363276830424319,0.11950878757158279,0.40488083933365754,0.23569922224313306,1.2227021265001647,0.24363276830424319
6,hu_szeged-ud-dev_Case=Dat,2.374008923181827,3.1993621813334823,3.1993621813334823,2.374008923181827,2.1905314002704164,2.000028974342906,2.086733139105775,3.1993621813334823,2.374008923181827
7,hu_szeged-ud-test_Case=Dat,5.356666645500764,6.174337938564088,6.174337938564088,5.356666645500764,5.1592917887195435,4.936354818224518,5.0379044854390065,6.174337938564088,5.356666645500764
8,hu_szeged-ud-train_Case=Dat,2.209383975460221,3.045362818101901,3.045362818101901,2.209383975460221,2.0228872781960012,1.831584577902858,1.9165134023046098,3.045362818101901,2.209383975460221
9,xav_xdt-ud-test_Case=Dat,0.3535533905932738,1.3133925536563698,1.3133925536563698,0.3535533905932738,0.22280253027762129,0.3804643037391985,0.282261014447296,1.3133925536563698,0.3535533905932738
10,tr_pud-ud-test_Case=Dat,5.418819642596533,6.339143832598542,6.339143832598542,5.418819642596533,5.185993826489053,4.915425534569472,5.04126532039719,6.339143832598542,5.418819642596533
11,es_gsd-ud-test_Case=Dat,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
12,es_gsd-ud-dev_Case=Dat,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
13,es_gsd-ud-train_Case=Dat,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
14,de_hdt-ud-test_Case=Dat,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
15,de_hdt-ud-train_Case=Dat,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
16,de_hdt-ud-dev_Case=Dat,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
17,sga_dipsgg-ud-test_Case=Dat,1.0,0.0,0.0,1.0,1.2595815691740142,1.573311362056255,1.425181345833614,0.0,1.0
18,pt_porttinari-ud-train_Case=Dat,1.2366829652976885,2.1565242585859323,2.1565242585859323,1.2366829652976885,1.032660368425799,0.8336240692713249,0.9235051386073183,2.1565242585859323,1.2366829652976885
19,pt_porttinari-ud-test_Case=Dat,1.178030178747903,2.0946968998021687,2.0946968998021687,1.178030178747903,0.9778344654769168,0.7905494961865999,0.873747552602568,2.0946968998021687,1.178030178747903
20,pt_porttinari-ud-dev_Case=Dat,0.9999999999999999,1.914854215512676,1.914854215512676,0.9999999999999999,0.8062492126476377,0.6334307917217433,0.708329092870135,1.914854215512676,0.9999999999999999
21,pl_pdb-ud-test_Case=Dat,0.5616610525897442,1.541535826120694,1.541535826120694,0.5616610525897442,0.32749635715292463,0.26909903762150955,0.21647346484969776,1.541535826120694,0.5616610525897442
22,pl_pdb-ud-train_Case=Dat,0.6435400880868297,1.6189288728823157,1.6189288728823157,0.6435400880868297,0.4029876917121509,0.2818669049962346,0.2789447925657124,1.6189288728823157,0.6435400880868297
23,pl_pdb-ud-dev_Case=Dat,0.6392517636155841,1.6141540233157499,1.6141540233157499,0.6392517636155841,0.3945484592493119,0.27645505922008334,0.2726494445431629,1.6141540233157499,0.6392517636155841
24,sah_yktdt-ud-test_Case=Dat,29.295904150580505,30.062435031114827,30.062435031114827,29.295904150580505,29.103455961517803,28.875263881002557,28.98405181329158,30.062435031114827,29.295904150580505
25,uk_iu-ud-dev_Case=Dat,7.581263453775733,8.489732360655166,8.489732360655166,7.581263453775733,7.343044487347158,7.073878221062316,7.1901915333885755,8.489732360655166,7.581263453775733
26,uk_iu-ud-train_Case=Dat,3.2649834546386796,4.162123839315832,4.162123839315832,3.2649834546386796,3.038413938757762,2.7890321717113276,2.8972834869294775,4.162123839315832,3.2649834546386796
27,uk_iu-ud-test_Case=Dat,4.921794263224878,5.847542709481503,5.847542709481503,4.921794263224878,4.674660580273526,4.397624137101676,4.512641692055493,5.847542709481503,4.921794263224878
