,Treebank,hu_szeged-ud-dev_Case=Tem,hu_szeged-ud-test_Case=Tem,hu_szeged-ud-train_Case=Tem,fa_seraji-ud-dev_Case=Tem,fa_seraji-ud-test_Case=Tem,fa_seraji-ud-train_Case=Tem,gub_tudet-ud-test_Case=Tem,lzh_tuecl-ud-test_Case=Tem,apu_ufpa-ud-test_Case=Tem,egy_ujaen-ud-test_Case=Tem,nyq_aha-ud-test_Case=Tem,mdf_jr-ud-test_Case=Tem,mdf_jr-ud-train_Case=Tem,myv_jr-ud-test_Case=Tem,myv_jr-ud-train_Case=Tem,kfm_aha-ud-test_Case=Tem,soj_aha-ud-test_Case=Tem,he_htb-ud-train_Case=Tem,lzh_kyoto-ud-dev_Case=Tem,lzh_kyoto-ud-train_Case=Tem,lzh_kyoto-ud-test_Case=Tem,gu_gujtb-ud-test_Case=Tem
0,kpv_ikdp-ud-test_Case=Prp,0.1767766952966369,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5634719199411433,3.5355339059327378,1.0,1.0,7.3739406018763125,1.0,1.0,1.0,4.242640687119285
1,kpv_lattice-ud-test_Case=Prp,20.60415613413954,20.71231517720798,20.71231517720798,21.494185260204677,21.494185260204677,21.494185260204677,20.71231517720798,21.494185260204677,21.494185260204677,21.494185260204677,21.494185260204677,21.494185260204677,21.494185260204677,19.683608521926168,19.013153341831543,21.494185260204677,21.494185260204677,15.949137907736581,21.494185260204677,21.494185260204677,21.494185260204677,18.734993995195193
