,Treebank,hu_szeged-ud-dev_Case=Ine,hu_szeged-ud-test_Case=Ine,hu_szeged-ud-train_Case=Ine,fi_ood-ud-test_Case=Ine,et_ewt-ud-train_Case=Ine,et_ewt-ud-test_Case=Ine,et_ewt-ud-dev_Case=Ine,si_stb-ud-test_Case=Ine,olo_kkpp-ud-test_Case=Ine,olo_kkpp-ud-train_Case=Ine,mdf_jr-ud-test_Case=Ine,mdf_jr-ud-train_Case=Ine,vep_vwt-ud-test_Case=Ine,fi_tdt-ud-train_Case=Ine,fi_tdt-ud-test_Case=Ine,fi_tdt-ud-dev_Case=Ine,myv_jr-ud-test_Case=Ine,myv_jr-ud-train_Case=Ine,kpv_ikdp-ud-test_Case=Ine,kpv_lattice-ud-test_Case=Ine,kpv_lattice-ud-train_Case=Ine,fi_pud-ud-test_Case=Ine,et_edt-ud-dev_Case=Ine,et_edt-ud-train_Case=Ine,et_edt-ud-test_Case=Ine,koi_uh-ud-train_Case=Ine,koi_uh-ud-test_Case=Ine,arr_tudet-ud-test_Case=Ine,krl_kkpp-ud-test_Case=Ine,eu_bdt-ud-train_Case=Ine,eu_bdt-ud-test_Case=Ine,eu_bdt-ud-dev_Case=Ine,fi_ftb-ud-dev_Case=Ine,fi_ftb-ud-train_Case=Ine,fi_ftb-ud-test_Case=Ine,ab_abnc-ud-test_Case=Ine
0,hu_szeged-ud-dev_Case=Cau,64.01367041499807,37.841775856849004,17.113763070306682,495.83263305272675,15.652475842498529,15.652475842498529,15.652475842498529,15.652475842498529,15.652475842498529,15.652475842498529,15.652475842498529,15.652475842498529,15.652475842498529,153.5472412511419,59.35520196242281,97.9483991134561,15.652475842498529,15.652475842498529,15.652475842498529,249.899979991996,15.652475842498529,66.71627406030552,15.652475842498529,15.652475842498529,15.652475842498529,15.652475842498529,15.652475842498529,15.652475842498529,15.652475842498529,15.652475842498529,15.652475842498529,15.652475842498529,15.652475842498529,15.652475842498529,15.652475842498529,15.652475842498529
1,hu_szeged-ud-test_Case=Cau,58.43586227651647,32.212833881337836,11.541086426341197,490.5099387372289,21.283796653792763,21.283796653792763,21.283796653792763,21.283796653792763,21.283796653792763,21.283796653792763,21.283796653792763,21.283796653792763,21.283796653792763,148.25343038243903,54.181546674121435,92.71042132480157,21.283796653792763,21.283796653792763,21.283796653792763,246.01219481968775,21.283796653792763,61.39035355985566,21.283796653792763,21.283796653792763,21.283796653792763,21.283796653792763,21.283796653792763,21.283796653792763,21.283796653792763,21.283796653792763,21.283796653792763,21.283796653792763,21.283796653792763,21.283796653792763,21.283796653792763,21.283796653792763
2,hu_szeged-ud-train_Case=Cau,60.77622890571609,35.083234362489065,14.815953070051258,491.4905899404382,19.697715603592208,19.697715603592208,19.697715603592208,19.697715603592208,19.697715603592208,19.697715603592208,19.697715603592208,19.697715603592208,19.697715603592208,149.25598778752888,55.08665900197615,93.61297393464694,19.697715603592208,19.697715603592208,19.697715603592208,245.11425907115236,19.697715603592208,62.66170916850551,19.697715603592208,19.697715603592208,19.697715603592208,19.697715603592208,19.697715603592208,19.697715603592208,19.697715603592208,19.697715603592208,19.697715603592208,19.697715603592208,19.697715603592208,19.697715603592208,19.697715603592208,19.697715603592208
3,egy_ujaen-ud-test_Case=Cau,79.57229417328622,53.4353191562784,32.67200382276872,510.61629429543274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.5023815651686,74.19460896857669,112.83714912307127,0.0,0.0,0.0,261.627597932634,0.0,81.8102583258783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,mdf_jr-ud-test_Case=Cau,79.57229417328622,53.4353191562784,32.67200382276872,510.61629429543274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.5023815651686,74.19460896857669,112.83714912307127,0.0,0.0,0.0,261.627597932634,0.0,81.8102583258783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,wbp_ufal-ud-test_Case=Cau,79.57229417328622,53.4353191562784,32.67200382276872,510.61629429543274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.5023815651686,74.19460896857669,112.83714912307127,0.0,0.0,0.0,261.627597932634,0.0,81.8102583258783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,eu_bdt-ud-train_Case=Cau,79.57229417328622,53.4353191562784,32.67200382276872,510.61629429543274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.5023815651686,74.19460896857669,112.83714912307127,0.0,0.0,0.0,261.627597932634,0.0,81.8102583258783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,eu_bdt-ud-test_Case=Cau,79.57229417328622,53.4353191562784,32.67200382276872,510.61629429543274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.5023815651686,74.19460896857669,112.83714912307127,0.0,0.0,0.0,261.627597932634,0.0,81.8102583258783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,eu_bdt-ud-dev_Case=Cau,79.57229417328622,53.4353191562784,32.67200382276872,510.61629429543274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.5023815651686,74.19460896857669,112.83714912307127,0.0,0.0,0.0,261.627597932634,0.0,81.8102583258783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
