Nombre d'accusatifs = 291
lt_hse-ud-train, Nearest=Nom, Distance=0.00290, Self=0.00367, Diff=0.00077
lt_hse-ud-test, Nearest=Gen, Distance=0.00151, Self=0.00151, Diff=0.00000
lt_hse-ud-dev, Nearest=Dat, Distance=0.00356, Self=0.00451, Diff=0.00095
ess_sli-ud-test, Nearest=Gen, Distance=0.00516, Self=0.00516, Diff=0.00000
ky_tuecl-ud-test, Nearest=Gen, Distance=0.00516, Self=0.00516, Diff=0.00000
hit_hittb-ud-test, Nearest=Gen, Distance=0.00312, Self=0.00312, Diff=0.00000
sa_ufal-ud-test, Nearest=Dat, Distance=0.00520, Self=0.00785, Diff=0.00265
be_hse-ud-train, Nearest=Gen, Distance=0.00177, Self=0.00177, Diff=0.00000
be_hse-ud-dev, Nearest=Gen, Distance=0.00180, Self=0.00180, Diff=0.00000
be_hse-ud-test, Nearest=Gen, Distance=0.00143, Self=0.00143, Diff=0.00000
et_ewt-ud-train, Nearest=Acc, Distance=0.00213, Self=0.00381, Diff=0.00168
et_ewt-ud-test, Nearest=Acc, Distance=0.00238, Self=0.00339, Diff=0.00101
et_ewt-ud-dev, Nearest=Acc, Distance=0.00357, Self=0.00518, Diff=0.00161
wo_wtb-ud-dev, Nearest=Dat, Distance=0.00667, Self=0.00865, Diff=0.00198
wo_wtb-ud-test, Nearest=Dat, Distance=0.00626, Self=0.00940, Diff=0.00314
wo_wtb-ud-train, Nearest=Dat, Distance=0.00597, Self=0.00835, Diff=0.00238
cs_pud-ud-test, Nearest=Gen, Distance=0.00081, Self=0.00081, Diff=0.00000
orv_ruthenian-ud-test, Nearest=Dat, Distance=0.00532, Self=0.00784, Diff=0.00252
orv_ruthenian-ud-train, Nearest=Dat, Distance=0.00369, Self=0.00588, Diff=0.00219
orv_ruthenian-ud-dev, Nearest=Dat, Distance=0.00514, Self=0.00780, Diff=0.00266
ml_ufal-ud-test, Nearest=Gen, Distance=0.00330, Self=0.00330, Diff=0.00000
egy_ujaen-ud-test, Nearest=Gen, Distance=0.00085, Self=0.00085, Diff=0.00000
de_pud-ud-test, Nearest=Gen, Distance=0.00224, Self=0.00224, Diff=0.00000
ro_simonero-ud-test, Nearest=Gen, Distance=0.00342, Self=0.00342, Diff=0.00000
ro_simonero-ud-train, Nearest=Gen, Distance=0.00347, Self=0.00347, Diff=0.00000
ro_simonero-ud-dev, Nearest=Gen, Distance=0.00354, Self=0.00354, Diff=0.00000
sq_tsa-ud-test, Nearest=Gen, Distance=0.00431, Self=0.00431, Diff=0.00000
si_stb-ud-test, Nearest=Acc, Distance=0.00318, Self=0.00467, Diff=0.00149
ar_padt-ud-dev, Nearest=Gen, Distance=0.00147, Self=0.00147, Diff=0.00000
ar_padt-ud-train, Nearest=Gen, Distance=0.00159, Self=0.00159, Diff=0.00000
